url,start,name
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/275200206/,2021-03-11T17:30:00-08:00,Be a Smarter Drupal Super Hero!  - Choosing your Coding Charity-Cases Wisely...
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/275331393/,2021-02-11T17:30:00-08:00,Leveraging Accessibility and Usability to Serve Truly Diverse Audiences
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/275603783/,2021-03-25T15:30:00-07:00,SFDUG - March 25 -  Boosting Layout Builder Under the Hood
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/275732532/,2021-05-13T17:30:00-07:00,SFDUG - May 13 - Building a High Availability Environment for Drupal with Azure
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/276759123/,2021-04-08T16:30:00-07:00,SFDUG - Practice your DrupalCon Talk!!
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/277160289/,2021-04-22T15:30:00-07:00,"SFDUG - April 22, 2021 - Virtual DrupalCon Happy Hour"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/277758377/,2021-05-27T15:30:00-07:00,"SFDUG - May  27, 2021 - ddev-gitpod a full dev environment in your browser"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/277964323/,2021-05-26T14:00:00-07:00,Speaker Diversity Workshop
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/278258923/,2021-07-22T15:30:00-07:00,"SFDUG - July 22, 2021 - Understanding React.js"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/278258987/,2021-08-12T17:30:00-07:00,"SFDUG - Aug 12, 2021 - Drupal development workflow on AWS"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/279870387/,2021-10-14T17:30:00-07:00,"SFDUG - Oct 14 - Accessible Slideshows - Button, button, who's got the button?"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/280085810/,2021-11-11T17:30:00-08:00,"Nov 11 - Designing 'With' & Not 'For,' rootid's Evolving Project Process Journey"
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/281379124,2021-12-09T17:30:00-08:00,SFDUG - Dec 9 - Stupendous Date Tricks
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/281797838/,2022-01-13T17:30:00-08:00,SFDUG - Jan 13 - ECA (Event Condition Action): New rules engine for Drupal 9+
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/281998341/,2021-12-01T15:30:00-08:00,SFDUG - Dec 1 - Gift of Open Source AMA
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/282897671/,2022-02-10T17:30:00-08:00,SFDUG - Feb 10 - DevOps for frontend developers 
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/282897728/,2022-03-10T17:30:00-08:00,SFDUG - March 10 - Tighten up your Drupal code using PHPStan
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/285014726/,2022-04-14T17:30:00-07:00,SFDUG - April 14 - Captchas and other gotchas & Fun with custom source plugins
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/285731865/,2022-05-12T17:30:00-07:00,SFDUG: DrupalCon Recap and Round-table Discussion
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/286121046/,2022-06-09T17:30:00-07:00,SFDUG: The Importance of Retention: Moving from Drupal 6/7/8 to Drupal 9/10
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/jhskqpyzgbpb/,2019-04-18T17:30:00-07:00,DrupalCon Seattle Retrospective
https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/pfzbqqyzmbqb/,2019-09-12T17:30:00-07:00,Start Using the Emerging Layout Builder Ecosystem
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/286639196/,2022-07-14T17:30:00-07:00,SFDUG: Drupal Views by Example
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/287210107/,2022-08-11T17:30:00-07:00,SFDUG: Speaker Workshop
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/287316995/,2022-09-08T17:30:00-07:00,SFDUG - Optimize your images to make your site load faster
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/287576628/,2022-11-10T17:30:00-08:00,SFDUG - An Update on WCAG 3.0
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/289819315/,2022-12-08T17:30:00-08:00,"SFDUG - D9 Localization Server Upgrade Initiative, w/Nicolas Loye & Marine Gandy"
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/290449578/,2023-01-12T17:30:00-08:00,"SFDUG - Drupal Year in Review, An Informal Group Discussion"
https://www.meetup.com/sfdug-san-francisco-drupal-users-group/events/291492129/,2023-03-09T17:30:00-08:00,SFDUG - Viewsapalooza: Our Favorite Drupal Views Tools & Tricks
