nid,title,status,created,changed,description,description_format,short_description,date_value,date_end_value,date_duration,date_rrule,video_media_id,speaker_nids,rsvp_uri,rsvp_title,accent_color,social_card_uri,event_mode,location
11,"SFDUG - Optimize your images to make your site load faster",1,1655449200,1655449200,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Presentation: Drupal Views by Example with Mauricio Dinarte, Drupal and ReactJS developer<br/>
* 7:00 - 7:15 pm: Feeds-Migrate Update with Irina Zaks<br/>
* 7:15 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation:<br/>
Drupal Views by Example<br/>
One Drupal's most powerful features, and a major differentiator over other CMSs, is Views. They are a flexible and dynamic way to list of information on your site. That can be nodes, users, comments, taxonomy terms, files, and more.</p>
<p>Views scan your website using any criteria you specify and present the results in the format of your choice. For example, a HTML table, a RSS feed, a PDF document, a CSV document, an interactive map, an image slideshow, or a JSON representation to be used as a REST endpoint.</p>
<p>In this presentation, we will present examples of common use cases for Views. Along the way, you will learn how to work with the Views UI. You will also leverage other Drupal site building concepts to create custom content listings.</p>
<p>About the speaker:<br/>
Mauricio Dinarte is a Drupal and ReactJS developer with a decade of experience. He is passionate about teaching. In 2019, he started <a href=""https://understanddrupal.com/"" title=""https://understanddrupal.com/"">https://understanddrupal.com/</a> where they blog in English, Spanish, and French. Lately, Mauricio has focused on Drupal migrations and has produced content on the topic.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build, and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1662683400,1662688800,90,,4,,,,,,online,
12,"SFDUG July 14, 2022: Drupal Views by Example",1,1653375600,1653375600,"<div class=""node-content"">




<h2>Details</h2>
<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.<br/>
This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****</p>
<h2>General Agenda:</h2>
<p>5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?</p>
<p>6:00 - 7:00 pm: The Importance of Retention:<br/>
Moving from Drupal 6/7/8 to Drupal 9/10 with Bob Snodgrass<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Moving Drupal sites from version 6, 7, and 8 to Drupal 9/10 has great importance for the Drupal project, this will be a guided discussion designed to help site owners and Drupal service providers make the most of the extended dates for Drupal 7 end of life. We will discuss the reasons, challenges, and possible solutions to make the best of our extra year to make this happen.</p>
<a name=""signup""></a>
</div>",full_html,,1657845000,1657850400,90,,5,,,,,,online,
13,"SFDUG - June 9 - The Importance of Retention: Moving from Drupal 6/7/8 to Drupal 9/10",1,1651820400,1651820400,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.<br/>
This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****<br/>
General Agenda:</p>
<p>5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?</p>
<p>6:00 - 7:00 pm: DrupalCon Recap and Round-table Discussion<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>This month’s meetup will be an informal group discussion about the recent DrupalCon. Come share your experiences, whether you attended in person or watched the videos. We can chat about the Drupal 10 initiatives and how we see our work fitting into them.</p>
<a name=""signup""></a>
</div>",full_html,,1654821000,1654826400,90,,6,,,,,,online,
14,"SFDUG - May 12 - DrupalCon Recap and  Round-table Discussion",1,1648882800,1648882800,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****</p>
<p>General Agenda:</p>
<p>5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
6:00 - 6:30 pm: Captchas and other gotchas with AmyJune HineLine, Senior Community manager at Opensource.com<br/>
6:30 - 7:00 pm: Fun with custom migrate source plugins with Anne Bonham, Tech Lead at Kanopi<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal<br/>
Presentations:<br/>
Captchas and other gotchas: Make sure your secure website is accessible with AmyJune HineLine, Senior Community manager at Opensource.com</p>
<p>Security measures and accessibility don’t always play nice, and you may be inadvertently leaving some of your content consumers behind. Captchas, timed logins, alert pop-ups, gated content, and modals are often used for security but not all assistive technology can get their users past the barriers.</p>
<p>Fun with custom migrate source plugins</p>
<p>Sometimes you need a source plugin that doesn’t exist to migrate content in the way you want. Extending contributed and core source plugins can be surprisingly easy and fun.</p>
<p>About the speakers:<br/>
AmyJune Hineline (volkswagenchick) is an active contributor in the Drupal community and other open source projects and has a dual focus on both open-source community development and inclusivity. She currently works as Senior Community manager at Opensource.com and was the recipient of the 2021 Aaron Winborn Award.</p>
<p>Anne Bonham (banoodle) has migrated a lot of content and loves to share what she's learned along the way. She has worked with Drupal for over 9 years and is a Drupal Tech Lead at Kanopi.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<a name=""signup""></a>
</div>",full_html,,1652401800,1652407200,90,,,,,,,,online,
15,"SFDUG - April 14 - Captchas and other gotchas & Fun with custom source plugins",1,1645516800,1645516800,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*****</p>
<p>General Agenda:</p>
<p>5:30 - 5:45 pm: Networking and socializing<br/>
5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
6:00 - 7:00 pm: Tighten up your Drupal code using PHPStan with Matt Glaman, Principal Software Engineer at Acquia<br/>
7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Tighten up your Drupal code using PHPStan) with Matt Glaman, Principal Software Engineer at Acquia<br/>
Learn how PHPStan, a static analysis tool for PHP, can find bugs in your code that your tests and code review cannot.</p>
<p>In this session, we will learn how to use PHPStan with the phpstan-drupal extension to perform static analysis of a Drupal codebase. We will also cover the intricacies of analyzing a codebase like Drupal's, which can have dynamic return types.</p>
<p>About the speaker:<br/>
Matt Glaman has worked with Drupal for over 9 years, he specializes in e-commerce and headless applications. He is also the creator of Drupal Check, the PHPStan Drupal extension.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>

</div>",full_html,,1649982600,1649988000,90,,7,,,,,,online,
16,"SFDUG - Feb 10 - DevOps for frontend developers",1,1639555200,1639555200,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: ECA (Event - Condition - Action): New rules engine for Drupal 9+ with Jürgen Haas, Founder of the Drupal User Group Lake Constance<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation:<br/>
ECA (Event - Condition - Action): New rules engine for Drupal 9+ with Jürgen Haas, Founder of the Drupal User Group Lake Constance<br/>
Inspired by BPMN (<a href=""http://www.bpmn.org"" title=""www.bpmn.org"">www.bpmn.org</a>) and a customer's requirement to migrate from Drupal 7 to 9 for sites with extensive use of rules, we investigated possible ways forward and built a proof of concept for a brand-new engine in Drupal 9 to process events based on BPMN models. Turned out to be more than a PoC and turned into a set of modules publicly available on drupal.org - this presentation will demonstrate this in action and explain the architecture behind it.</p>
<p>About the speaker:<br/>
Jürgen Haas has been a Drupal enthusiast since version 4.7 and a passionate contributor for modules, documentation, patches, and support in the issue queue. Working full-time on Drupal solutions with a focus on backend development and automation/devops. Founder of the Drupal User Group Lake Constance in 2011 and a regular speaker at meetups and a couple of times on DrupalCon too.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>

</div>",full_html,,1644543000,1644548400,90,,,,,,,,online,
17,"SFDUG - Dec 9 - Stupendous Date Tricks",1,1636704000,1636704000,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 3:30 - 3:45 pm: Networking and socializing<br/>
* 3:45 - 4:30 pm: Gift of Open Source AMA presentation with Pantheon</p>
<p>Presentation: Gift of Open Source AMA<br/>
For more information: <a href=""https://pantheon.io/gift-open-source"" title=""https://pantheon.io/gift-open-source"">https://pantheon.io/gift-open-source</a></p>
<p>The Pantheon Community is running the second annual Gift of Open Source event throughout the month of December. The Gift of Open source is a virtual coming-together to educate, inspire, and contribute to open source projects. Come to SFDUG on December 1st to learn more about the event and how to get involved.</p>
<a name=""signup""></a>
</div>",full_html,,1639099800,1639105200,90,,10,,,,,,online,
18,"SFDUG - Jan 13 - ECA (Event Condition Action): New rules engine for Drupal 9+",1,1636704000,1636704000,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Stupendous Date Tricks with Martin Anderson-Clutz, Solutions Engineer at Acquia<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Stupendous Date Tricks with Martin Anderson-Clutz, Solutions Engineer at Acquia<br/>
Managing dates and times is often complex: recurring events, timezones, daylight savings times, regional formatting conventions, and more. Add in additional presentation requirements like add-to-calendar links, registration links, and related content (like agendas, that change for each date instance), and the complexity can seem bewildering.</p>
<p>Fortunately Drupal offers a rich toolset for solving these challenges. In this session, we'll explore the solutions, not only showing how they work but also detailing the modules and the configuration needed.</p>
<p>About the speaker:<br/>
Martin Anderson-Clutz, Solutions Engineer at Acquia started his Drupal journey in 2005, with version 4.6. Since then, his passion for the community has been shown in his frequent participation at Drupal user groups, local Drupalcamps, and Drupalcons, often as a speaker. He was with Digital Echidna (now a Northern company) from 2015 to 2021, and recently joined Acquia as a Solutions Engineer.<br/>
He also maintains a number of contrib modules, including Smart Date, Search Overrides, and a few others.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants to adhere to the Drupal Code of Conduct. This applies to all community interactions and events.</p>
<a name=""signup""></a>
</div>",full_html,,1642123800,1642129200,90,,9,,,,,,online,
19,"SFDUG - Dec 1 - Gift of Open Source Ask me Anything",1,1634022000,1634022000,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Designing 'With' &amp; Not 'For,' rootid's Evolving Project Process Journey With Val Neumark, Director of strategy &amp; education, founder of rootid<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Designing 'With' &amp; Not 'For,' rootid's Evolving Project Process Journey<br/>
Design work and website builds are fraught with power and identity dynamics. Too often the design and build processes do not center the needs of those most impacted by its outcomes. Since 2019, rootid has been standardizing all of our processes in alignment—deepening and reframing our work as partnerships 'with' versus designing 'for.'</p>
<p>This session will share our journey, warts and all, as well as some of the techniques we use to make continual space to notice and reflect upon how power, identity and oppression show up in varying contexts of our work.</p>
<p>About the speaker:<br/>
Val Neumark, Director of strategy &amp; education, founder of rootid, is a brand strategist, educator, facilitator and coach focused on using communications, design-thinking and technology as vehicles to advance equity. Through partnerships and collaborations, endeavoring to co-design anti-racist, anti-oppressive spaces and tools that facilitate strategic-thinking, community building and sustainable growth for non-profits and social impact organizations.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<p><a href=""https://www.drupal.org/project/sfdug/issues/3192665"" title=""https://www.drupal.org/project/sfdug/issues/3192665"">https://www.drupal.org/project/sfdug/issues/3192665</a></p>
<a name=""signup""></a>
</div>",full_html,,1638401400,1638406800,90,,11,,,,,,online,
20,"SFDUG - Nov 11 - Designing 'With' & Not 'For,' rootid's Evolving Project Process",1,1630911600,1630911600,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Accessible Slideshows - Button, button, who's got the button? with AmyJune Hineline, QA Engineer and Community Ambassador at Kanopi Studios<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Accessible Slideshows - Button, button, who's got the button?<br/>
Arguably, the first rule of slideshows is to not have slideshows, but what do you do when the primary stakeholder insists…</p>
<p>According to W3 schools: “Carousels are disputed from a usability perspective because their content can be hard to discover. Ensuring accessibility can also improve usability.”</p>
<p>Together we’ll follow Alice down the rabbit hole and learn about the different types of slideshows (often called carousels), discuss their components, and dive into how to make our slideshow accessible across different types of users and user agents.</p>
<p>About the speaker:<br/>
AmyJune Hineline is the Open Source Community Ambassador and QA Engineer at Kanopi Studios. With a dual focus on both open-source community development and inclusivity, she is uniquely positioned to help individuals become more comfortable and confident as they contribute to their communities</p>
<p>Her ongoing experience as a hospice nurse keeps her in touch with the challenges faced by many end-users. In her continued efforts to make a difference, she helps organize A11yTalks, an online meetup where they invite folks on every month to talk about all things accessibility - one of the core components of building an inclusive web.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1636680600,1636686000,90,,12,,,,,,online,
21,"SFDUG - July 22, 2021 - Understanding React.js",1,1626159600,1626159600,"<div class=""node-content"">




<p>Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Drupal development workflow on AWS With Salim Lakhani, CTO and Co-Founder of DevPanel<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Drupal development workflow on AWS<br/>
Curious about running a Pantheon/Platform-like system on AWS?<br/>
Then you want to attend this session.</p>
<p>DevPanel is building out a Community Edition (CE) version of their platform and is looking for feedback and participants to work with. So whether you're running 1 site or 200 sites, Drupal and/or WordPress, come see what DevPanel CE is all about and if it will work for you...</p>
<p>About the speaker:<br/>
Salim Lakhani is an Ambassador with the Cloud Native Computing Foundation (CNCF.io) and the CTO and Co-Founder of DevPanel, a DevOps Control Panel for Drupal. At work, he helps companies migrate and run their sites on AWS. Outside of DevOps, he works on various AI and Security related projects.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<p><a href=""https://www.drupal.org/project/sfdug/issues/3192665"" title=""https://www.drupal.org/project/sfdug/issues/3192665"">https://www.drupal.org/project/sfdug/issues/3192665</a></p>

</div>",full_html,,1626993000,1626998400,90,,16,,,,,,online,
22,"SFDUG - Sept 9 - The Evolution of Drupal’s Seemingly Simplistic Primary Menu",1,1624604400,1767511371,"<div class=""node-content"">




<p>Details<br/>
Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event.*********</p>
<p>General Agenda:<br/>
* 3:30 - 3:45 pm: Networking and socializing<br/>
* 3:45 - 4:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 4:00 - 5:00 pm: Presentation: Understanding React.js with Mauricio Dinarte, Drupal and ReactJS developer<br/>
* 5:00 - 5:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Understanding React.js<br/>
React.js has become one of the top players in the JavaScript libraries world. Drupal is planning to adopt the library to create admin interfaces. WordPress has rebuilt its WYSIWYG editor using React.</p>
<p>This session aims to explain the basic concepts of React outside of the context of any particular CMS implementation. Throughout the presentation, a static site will be converted into a dynamic React application. Along the way, you will learn about different concepts and the process of working with React. Many examples will be presented to help you understand it works and why it is so powerful.</p>
<p>No previous experience with React.js is required. Basic familiarity with HTML, CSS, and JavaScript syntax suffices.</p>
<p>About the speaker:<br/>
Mauricio is a web developer passionate about Drupal, WordPress, and ReactJS. He believes in the value of free software communities working together and looks for collaboration opportunities among them. Mauricio enjoys traveling, reading, and teaching. He blogs in English, Spanish, and French at <a href=""https://understanddrupal.com/"" title=""https://understanddrupal.com/"">https://understanddrupal.com/</a></p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<p><a href=""https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/278258923/"" title=""https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/278258923/"">https://www.meetup.com/SFDUG-San-Francisco-Drupal-Users-group/events/278...</a></p>

</div>",full_html,,1631235600,1631239200,60,,14,,,,,,online,
23,"SFDUG - May 27, 2021 - ddev-gitpod a full dev environment in your browser",1,1620111600,1620111600,"<div class=""node-content"">




<p>Drupal Diversity &amp; Inclusion advocates through SFDUG are hosting a Speaker Diversity Workshop to help speakers from underrepresented groups prepare to speak at conferences. This will in turn help local meetups, Drupal Camps, and even DrupalCons develop a more diverse speaker roster. The workshop helps folks bust through their impostor syndrome and develop a topic, title, pitch, bio, and outline. #DrupalSpeakerDiversity</p>
<p>The workshop covers:<br/>
- Impostor syndrome<br/>
- Finding a topic<br/>
- Better speaker tips<br/>
- Writing a great pitch<br/>
- Creating an outline<br/>
- Creating great slides<br/>
- Public speaking confidence</p>
<p>This workshop is a great fit for you if you’ve ever felt uncomfortable about speaking at events or wanted to present but found yourself thinking:<br/>
- “What would I talk about?”<br/>
- “I’m not an expert in anything.”</p>
<p>Trainer(s): AmyJune Hineline (volkswagenchick)</p>
<p>Registration is now open and we would love to see you attend. If you’re from a marginalized or underrepresented group and have felt challenges around speaking at events, these workshops will help you to venture out with your first talk, or, if you’ve spoken before, to level up your skills and confidence.</p>
<p>If you feel as if you’ve had some tension around speaking due to an aspect of your identity that is underrepresented or marginalized in the Drupal community, we would love to see you at our Speaker Diversity Workshop.</p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a> </div>",full_html,,1622154600,1622160000,90,,19,,,,,,online,
24,"SFDUG - Aug 12, 2021 - Drupal development workflow on AWS",1,1619506800,1619506800,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event.*********</p>
<p>General Agenda:<br/>
* 3:30 - 3:45 pm: Networking and socializing<br/>
* 3:45 - 4:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 4:00 - 5:00 pm: Presentation: ddev-gitpod a full dev environment in your browser with Ofer Shaal, Drupal core maintainer<br/>
* 5:00 - 5:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: ddev-gitpod a full dev environment in your browser<br/>
We are at the beginning of a new era, developer experience improvements allow us to focus on what's important. Come see how we change Drupal development and contributions as we know it.</p>
<p>About the speaker:<br/>
Ofer Shaal is a Drupal core maintainer (Umami), Top 50 Drupal core contributors, and accessibility advocate. He also co-created Drupal Rector and created ddev-gitpod, a full Drupal dev environment in a browser.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<a name=""signup""></a>
</div>",full_html,,1628814600,1628820000,90,,15,,,,,,online,
25,"Speaker Diversity Workshop through SFDUG and friends",1,1619074800,1619074800,"<div class=""node-content"">




<p>Details<br/>
Join the San Francisco Drupal User Group (SFDUG) to network, co-work and socialize with fellow Drupal users.</p>
<p>****This is a virtual event. Be sure to RSVP to the event and we will email a ZOOM link the afternoon of the event.*********</p>
<p>General Agenda:<br/>
* 5:30 - 5:45 pm: Networking and socializing<br/>
* 5:45 - 6:00 pm: “Your Dose of Drupal Dialogue”<br/>
— Discussion on what’s in Drupal news<br/>
— Who is hiring in the SF Bay Area? Who needs to hire?<br/>
* 6:00 - 7:00 pm: Presentation: Building a High Availability Environment for Drupal with Azure with Diego Tejera, CTO &amp; Founder at Rootstack<br/>
* 7:00 - 7:30 pm: Wrap up, more hanging out and chatting up Drupal</p>
<p>Presentation: Building a High Availability Environment for Drupal with Azure</p>
<p>Microsoft Azure has grown in the last few years and it has proven that it is a solid platform to deploy and scale web applications. In this talk we are going to show how to easily build a HA environment using the different Azure Services and setup automatic deployments using CI tools.</p>
<p>About the speaker:<br/>
Diego, CTO &amp; Founder at Rootstack, holds a Computer Science degree and has extensive know-how in the software development industry. With more than 12 years of experience working on challenging projects, Diego works with teams and organizations to strategize amazing software solutions that can grow and adapt over time.</p>
<p>About the sponsor:<br/>
Kanopi Studios - They design, build and support websites for clients who want to make a positive impact.</p>
<p>Where: On-Line!</p>
<p>Join us on slack: <a href=""http://sfdrupal.herokuapp.com"" title=""http://sfdrupal.herokuapp.com"">http://sfdrupal.herokuapp.com</a></p>
<p>SFDUG seeks to provide a friendly, safe environment. All participants should be able to engage in productive dialogue. They should share and learn with each other in an atmosphere of mutual respect. We require all participants adhere to the Drupal Code of Conduct. This applies to all community interaction and events.</p>
<p><a href=""https://www.drupal.org/project/sfdug/issues/3192665"" title=""https://www.drupal.org/project/sfdug/issues/3192665"">https://www.drupal.org/project/sfdug/issues/3192665</a></p>

</div>",full_html,,1622062800,1622068200,90,,,,,,,,online,
